PktCount,SumPktLength,MaxPktLength,MinPktLength,MeanPktLength,SumIat,MaxIat,MinIat,MeanIat,FlowDuration,InitialWindow,SumWindow,MaxWindow,MinWindow,MeanWindow,IsTCP,isVideo
139.0,175462.0,1410.0,66.0,1262.31654676259,66286065.0,64644882.0,22.0,480333.8043478261,66286065.0,7240.0,915744.0,7240.0,6576.0,6588.086330935252,1.0,1.0
189.0,240679.0,1410.0,66.0,1273.4338624338625,66007234.0,63249206.0,68.0,351102.3085106383,66007234.0,65535.0,12983295.0,68864.0,65535.0,68694.68253968254,1.0,1.0
10492.0,14593132.0,1410.0,66.0,1390.881814715974,244198002.0,13330261.0,14.0,23276.904203603088,244198002.0,65535.0,1623882239.0,195584.0,65535.0,154773.3739039268,1.0,1.0
32.0,10593.0,1410.0,66.0,331.03125,78829721.0,63226477.0,43.0,2542894.2258064514,78829721.0,7240.0,212224.0,7240.0,6576.0,6632.0,1.0,1.0
2940.0,4104259.0,1410.0,66.0,1396.0064625850341,70984237.0,58270564.0,18.0,24152.51343994556,70984237.0,28960.0,114307360.0,38912.0,28960.0,38880.054421768706,1.0,1.0
158.0,177535.0,1410.0,66.0,1123.639240506329,99547163.0,61117575.0,21.0,634058.3630573249,99547163.0,7240.0,1041016.0,7240.0,6576.0,6588.708860759493,1.0,1.0
31.0,6796.0,595.0,54.0,219.2258064516129,309806407.0,239992979.0,31.0,10326880.233333332,309806407.0,65535.0,2394111.0,90368.0,0.0,77229.3870967742,1.0,1.0
201.0,267002.0,1410.0,66.0,1328.3681592039802,64461827.0,61964608.0,21.0,322309.135,64461827.0,7240.0,1323504.0,7240.0,6576.0,6584.5970149253735,1.0,1.0
1181.0,1617096.0,1410.0,66.0,1369.2599491955968,77967499.0,64639478.0,19.0,66074.15169491526,77967499.0,7240.0,7768136.0,7240.0,6576.0,6577.591871295513,1.0,1.0
36.0,31976.0,1410.0,66.0,888.2222222222222,22803243.0,19879928.0,61.0,651521.2285714286,22803243.0,7240.0,238464.0,7240.0,6576.0,6624.0,1.0,1.0
124.0,154066.0,1410.0,66.0,1242.467741935484,66594345.0,64665629.0,28.0,541417.4390243902,66594345.0,7240.0,817328.0,7240.0,6576.0,6591.354838709677,1.0,1.0
26.0,13372.0,1410.0,66.0,514.3076923076923,63481619.0,60667125.0,414.0,2539264.76,63481619.0,65535.0,1774847.0,69888.0,65535.0,68263.34615384616,1.0,1.0
37150.0,51918949.0,1410.0,66.0,1397.5490982503366,327987611.0,28254562.0,12.0,8828.975504051254,327987611.0,65535.0,8623585279.0,331776.0,65535.0,232128.80966352625,1.0,1.0
478.0,632642.0,1410.0,66.0,1323.5188284518829,68318769.0,63611867.0,22.0,143225.93081761006,68318769.0,65535.0,31326207.0,65536.0,65535.0,65535.99790794979,1.0,1.0
27.0,9476.0,1410.0,66.0,350.962962962963,63915843.0,60959357.0,129.0,2458301.653846154,63915843.0,65535.0,1930239.0,76032.0,65535.0,71490.33333333333,1.0,1.0
30.0,17593.0,1410.0,66.0,586.4333333333333,239918124.0,60973739.0,75.00000001490116,8273038.75862069,239918124.0,7240.0,197856.0,7240.0,5856.0,6595.2,1.0,1.0
569.0,557507.0,1410.0,66.0,979.8014059753955,454933750.0,60281703.0,8.0,800939.7007042253,454933750.0,7240.0,3786472.0,9264.0,6576.0,6654.608084358524,1.0,1.0
38.0,12821.0,1410.0,66.0,337.39473684210526,92062613.0,50752925.0,19.0,2488178.7297297297,92062613.0,1428.0,738600.0,35840.0,1428.0,19436.842105263157,1.0,1.0
9638.0,13426416.0,1410.0,66.0,1393.0707615687902,169283721.0,63356401.0,8.0,17566.018574245096,169283721.0,7240.0,65011008.0,7648.0,6480.0,6745.279933596182,1.0,1.0
816.0,1120755.0,1410.0,66.0,1373.4742647058824,82479826.0,64840316.0,18.0,101202.24049079754,82479826.0,7240.0,5367776.0,7240.0,6576.0,6578.156862745098,1.0,1.0
33.0,27073.0,1410.0,66.0,820.3939393939394,20093202.0,19998002.0,69.0,627912.5625,20093202.0,7240.0,218608.0,7240.0,6576.0,6624.484848484848,1.0,1.0
375.0,513908.0,1410.0,66.0,1370.4213333333332,62288545.0,61743242.0,19.0,166546.91176470587,62288545.0,7240.0,2467824.0,7240.0,6576.0,6580.864,1.0,1.0
10312.0,14487797.0,1410.0,66.0,1404.9454034134988,84235657.0,63610993.0,12.0,8169.494423431287,84235657.0,65535.0,776011775.0,75264.0,65535.0,75253.27531031807,1.0,1.0
36.0,12733.0,1410.0,66.0,353.69444444444446,185389380.0,64365299.0,23.0,5296839.428571428,185389380.0,26847.0,1442527.0,50944.0,26847.0,40070.194444444445,1.0,1.0
510.0,693996.0,1410.0,66.0,1360.7764705882353,67052280.00000003,63350570.0,18.0,131733.3595284873,67052280.00000003,7240.0,3354808.0,7240.0,6576.0,6578.054901960784,1.0,1.0
188.0,244032.0,1410.0,66.0,1298.0425531914893,66979890.00000003,64056693.00000003,21.0,358181.2299465242,66979890.00000003,28960.0,6037536.0,32256.0,28960.0,32114.55319148936,1.0,1.0
37390.0,52541219.0,1410.0,66.0,1405.2211553891416,254373344.0,37557403.0,12.0,6803.427318195191,254373344.0,65535.0,5415257087.0,177664.0,65535.0,144831.69529285905,1.0,1.0
29.0,10091.0,1410.0,66.0,347.9655172413793,98394106.0,59762824.0,38.0,3514075.214285714,98394106.0,7240.0,192496.0,7240.0,6576.0,6637.793103448276,1.0,1.0
3877.0,5405435.0,1410.0,66.0,1394.2313644570545,91876221.0,59724677.0,13.0,23703.875386996904,91876221.0,65535.0,254083071.0,65536.0,65535.0,65535.99974206861,1.0,1.0
249.0,259147.0,1410.0,54.0,1040.7510040160641,290643536.0,62973173.0,28.0,1171949.7419354839,290643536.0,7240.0,1632008.0,7240.0,0.0,6554.248995983936,1.0,1.0
32.0,13191.0,1410.0,66.0,412.21875,159377142.0,63951661.0,24.0,5141198.129032258,159377142.0,1428.0,437032.0,28672.0,1428.0,13657.25,1.0,1.0
201.0,269240.0,1410.0,66.0,1339.5024875621891,62787630.0,62047937.0,28.0,313938.15,62787630.0,7240.0,1323632.0,7240.0,6576.0,6585.233830845771,1.0,1.0
4336.0,5982428.0,1410.0,66.0,1379.711254612546,153958645.0,62451799.0,21.0,35515.258362168395,153958645.0,7240.0,28515480.0,7240.0,6576.0,6576.448339483395,1.0,1.0
26.0,10822.0,1410.0,66.0,416.2307692307692,157931565.0,63749626.0,28.0,6317262.6,157931565.0,1428.0,159016.0,12288.0,1428.0,6116.0,1.0,1.0
26.0,20097.0,1410.0,66.0,772.9615384615385,65985260.0,64914139.0,36.0,2639410.4,65985260.0,7240.0,173072.0,7240.0,6576.0,6656.615384615385,1.0,1.0
50.0,51222.0,1410.0,66.0,1024.44,21274283.0,20120676.0,37.0,434169.0408163265,21274283.0,7240.0,330680.0,7240.0,6576.0,6613.6,1.0,1.0
30654.0,43073700.0,1410.0,66.0,1405.1575650812292,109250353.0,59640255.0,20.99999998509884,3564.099859720093,109250353.0,65535.0,4215618047.0,225792.0,65535.0,137522.60869707054,1.0,1.0
219.0,289137.0,1410.0,66.0,1320.2602739726028,61598523.0,59414322.0,50.0,282562.03211009176,61598523.0,65535.0,15054335.0,68864.0,65535.0,68741.25570776255,1.0,1.0
41113.0,57828643.0,1410.0,66.0,1406.5780410089267,160276138.0,8080340.0,21.0,3898.524469741195,160276138.0,65535.0,4861948927.0,166912.0,65535.0,118258.18906428624,1.0,1.0
20786.0,29238252.0,1410.0,66.0,1406.631963821803,109750862.00000003,62407653.0,21.0,5280.291652634112,109750862.00000003,65535.0,1827355135.0,113152.0,65535.0,87912.78432598864,1.0,1.0
318.0,388495.0,1410.0,66.0,1221.682389937107,190177812.0,42662389.0,22.0,599930.0063091483,190177812.0,7240.0,2092088.0,7240.0,6576.0,6578.893081761006,1.0,1.0
